bowler,balls_bowled,wickets_taken,runs_conceded,matches_played,wickets_per_match,economy,bowling_score
Mr Marsh,593,37,803,34,1.088235294117647,8.1247892074199,22.442263079039947
Nltc Perera,715,37,1031,36,1.0277777777777777,8.651748251748252,22.428672268046913
M Markande,737,37,1081,37,1.0,8.800542740841248,22.422725868524672
Kk Cooper,600,36,789,25,1.44,7.89,21.913348539246066
Cj Jordan,717,36,1111,34,1.0588235294117647,9.297071129707113,21.83327685478361
M Theekshana,902,36,1226,38,0.9473684210526315,8.15521064301552,21.813997879137002
R Tewatia,866,36,1117,52,0.6923076923076923,7.739030023094688,21.764304567052992
M Ashwin,898,35,1182,44,0.7954545454545454,7.8975501113585755,21.18441521496496
Harpreet Brar,826,35,1097,46,0.7608695652173914,7.968523002421308,21.1772726640718
Dl Vettori,785,34,894,34,1.0,6.83312101910828,20.62926919780456
Mf Maharoof,441,33,532,20,1.65,7.238095238095238,20.157631575129848
Shivam Mavi,687,33,958,32,1.03125,8.366812227074236,20.03015396374008
Ab Agarkar,820,33,1174,42,0.7857142857142857,8.590243902439026,19.9804250804405
L Ngidi,390,32,541,16,2.0,8.323076923076924,19.624029571974265
A Zampa,475,32,656,22,1.4545454545454546,8.286315789473683,19.515045266858102
R Sai Kishore,453,32,655,25,1.28,8.675496688741722,19.4790534324572
Cr Woakes,463,31,674,21,1.4761904761904763,8.734341252699783,18.918136213289074
Azhar Mahmood,552,31,707,23,1.3478260869565217,7.684782608695652,18.895590673693505
A Singh,486,31,639,23,1.3478260869565217,7.888888888888889,18.894917326853708
Umran Malik,519,31,785,26,1.1923076923076923,9.07514450867052,18.860499752593633
Harmeet Singh,574,31,747,28,1.1071428571428572,7.808362369337979,18.847042133520898
Ba Stokes,723,31,1023,38,0.8157894736842105,8.489626556016598,18.786716054229743
B Lee,916,30,1126,38,0.7894736842105263,7.3755458515283845,18.1850113702289
Sk Raina,930,30,1139,69,0.43478260869565216,7.348387096774194,18.114173374927354
Yash Thakur,475,28,782,21,1.3333333333333333,9.877894736842105,17.08691389394343
Pv Tambe,674,28,866,33,0.8484848484848485,7.70919881305638,16.99563999943415
Ad Mathews,807,28,1095,44,0.6363636363636364,8.141263940520446,16.9518389343009
Str Binny,611,28,763,63,0.4444444444444444,7.4926350245499185,16.915581764312797
Mohsin Khan,507,27,698,23,1.173913043478261,8.2603550295858,16.458994640148493
J Botha,709,27,818,34,0.7941176470588235,6.922425952045134,16.387715130780112
R Dhawan,693,27,922,36,0.75,7.982683982683983,16.37505422679635
Dr Smith,557,27,825,46,0.5869565217391305,8.88689407540395,16.33989635232049
Naveen-Ul-Haq,407,26,602,17,1.5294117647058822,8.874692874692876,15.928418341542464
Akash Madhwal,376,26,598,17,1.5294117647058822,9.542553191489363,15.926841102138365
Sw Tait,534,26,668,21,1.2380952380952381,7.50561797752809,15.874265750655638
Basil Thampi,539,26,862,25,1.04,9.595547309833025,15.828842998601242
Mj Santner,617,26,744,31,0.8387096774193549,7.235008103727715,15.795385300838719
Navdeep Saini,682,26,968,31,0.8387096774193549,8.516129032258064,15.791226781211028
Re Van Der Merwe,455,25,515,21,1.1904761904761905,6.791208791208792,15.267545071946476
Gb Hogg,466,25,585,21,1.1904761904761905,7.532188841201716,15.264647941122712
Sohail Tanvir,265,24,275,11,2.1818181818181817,6.226415094339623,14.868484843325986
As Rajpoot,567,24,844,29,0.8275862068965517,8.931216931216932,14.587910603800905
Bw Hilfenhaus,390,23,497,17,1.3529411764705883,7.6461538461538465,14.09674517352309
A Symonds,540,23,694,30,0.7666666666666667,7.711111111111111,13.979269929393428
Jp Duminy,701,23,847,49,0.46938775510204084,7.249643366619116,13.92146511116624
Wpujc Vaas,288,22,364,13,1.6923076923076923,7.583333333333333,13.564835161357324
Vy Mahesh,359,22,511,17,1.2941176470588236,8.540389972144846,13.482241661046759
Jp Behrendorff,379,22,563,17,1.2941176470588236,8.91292875989446,13.48126284009723
As Joseph,454,22,707,22,1.0,9.343612334801762,13.42140499535175
Bipul Sharma,436,22,581,28,0.7857142857142857,7.9954128440366965,13.382157197100902
K Gowtham,599,22,825,35,0.6285714285714286,8.263772954924875,13.349916302987618
Shahbaz Ahmed,605,22,953,45,0.4888888888888889,9.451239669421488,13.318939020729411
Kw Richardson,345,21,479,15,1.4,8.330434782608696,12.904008347848684
Vijaykumar Vyshak,356,21,577,16,1.3125,9.724719101123595,12.883066144621157
Rp Meredith,415,21,621,18,1.1666666666666667,8.978313253012047,12.855609229939747
Mujeeb Ur Rahman,465,21,626,20,1.05,8.07741935483871,12.8347603803212
Anureet Singh,430,21,636,22,0.9545454545454546,8.874418604651162,12.813445776000608
Nt Ellis,390,20,553,17,1.1764705882352942,8.507692307692308,12.258802252316084
C Sakariya,479,20,649,20,1.0,8.129436325678498,12.224601948694316
J Suchith,434,20,604,21,0.9523809523809523,8.350230414746544,12.21442762248642
Bb Sran,516,20,767,24,0.8333333333333334,8.918604651162791,12.18909169674678
Suyash Sharma,569,20,835,27,0.7407407407407407,8.804920913884008,12.170862716426674
C Green,462,20,675,29,0.6896551724137931,8.766233766233766,12.160745846694994
Crd Fernando,249,19,306,10,1.9,7.373493975903615,11.80712417932793
Ad Mascarenhas,310,19,365,13,1.4615384615384615,7.064516129032258,11.720618190583377
A Ashish Reddy,270,19,400,20,0.95,8.88888888888889,11.61249999746875
Ic Pandey,469,19,609,24,0.7916666666666666,7.791044776119403,11.584003828122754
Ch Gayle,584,19,755,38,0.5,7.756849315068494,11.525783661135176
Bj Hodge,238,18,310,20,0.9,7.815126050420169,11.005591394574862
R Rampaul,278,17,319,12,1.4166666666666667,6.884892086330935,10.512382440921812
D Wiese,307,17,447,15,1.1333333333333333,8.736156351791532,10.449560027207955
Mukesh Choudhary,334,17,523,16,1.0625,9.395209580838324,10.433787441966219
Lr Shukla,326,17,458,27,0.6296296296296297,8.429447852760736,10.349652269544999
Ac Thomas,327,16,416,15,1.0666666666666667,7.63302752293578,9.839535252977551
Cr Brathwaite,266,16,384,16,1.0,8.661654135338345,9.823090275111973
Vrv Singh,371,16,549,18,0.8888888888888888,8.878706199460916,9.800303579733736
Kartik Tyagi,458,16,720,20,0.8,9.43231441048035,9.781203701455718
St Jayasuriya,301,16,396,21,0.7619047619047619,7.893687707641196,9.77771764950791
Rg Sharma,349,16,462,32,0.5,7.9426934097421205,9.725180372010119
Ya Abdulla,222,15,311,11,1.3636363636363635,8.405405405405405,9.2965214821151
Sj Srivastava,306,15,444,14,1.0714285714285714,8.705882352941176,9.2372586846199
G Coetzee,292,15,490,14,1.0714285714285714,10.068493150684931,9.234149657891063
Dr Sams,389,15,528,16,0.9375,8.143958868894602,9.212058077792584
An Ahmed,362,15,515,17,0.8823529411764706,8.535911602209945,9.199901006202344
Pvd Chameera,408,15,640,19,0.7894736842105263,9.411764705882353,9.179144734584293
Mohammad Nabi,419,15,527,23,0.6521739130434783,7.5465393794749405,9.156936992885601
Rr Powar,443,15,538,26,0.5769230769230769,7.286681715575622,9.142831947429482
Umar Gul,153,14,198,6,2.3333333333333335,7.764705882352941,8.89242423910698
E Malinga,165,14,244,7,2.0,8.872727272727273,8.822540981066078
Kamran Khan,177,14,248,9,1.5555555555555556,8.40677966101695,8.73490143086186
S Lamichhane,211,14,297,9,1.5555555555555556,8.445497630331754,8.734792365321693
Karanveer Singh,213,14,323,9,1.5555555555555556,9.098591549295774,8.733092532843804
Ab Mcdonald,188,14,263,10,1.4,8.393617021276595,8.703827627072501
Kr Sen,255,14,396,12,1.1666666666666667,9.31764705882353,8.654797977494324
Ds Rathi,321,14,435,13,1.0769230769230769,8.130841121495328,8.639982313508806
Ka Jamieson,273,14,418,13,1.0769230769230769,9.186813186813186,8.637154947943108
Gd Mcgrath,329,14,366,14,1.0,6.674772036474164,8.629963565638427
R Mclaren,372,14,558,18,0.7777777777777778,9.0,8.577777775308641
Djg Sammy,244,14,354,19,0.7368421052631579,8.704918032786885,8.570343936304031
Jr Hopes,369,14,562,20,0.7,9.138211382113822,8.56188611860143
Cj Anderson,315,14,525,22,0.6363636363636364,10.0,8.547272725272727
Ck Langeveldt,165,13,199,7,1.8571428571428572,7.236363636363636,8.199066758563998
J Theron,235,13,311,10,1.3,7.940425531914894,8.085187563816143
J Little,236,13,341,11,1.1818181818181819,8.669491525423728,8.059433037417215
Sm Pollock,280,13,307,13,1.0,6.578571428571429,8.0304017326208
Tk Curran,252,13,432,13,1.0,10.285714285714286,8.019444442554011
Rs Bopara,213,13,301,14,0.9285714285714286,8.47887323943662,8.009302322799417
Jdp Oram,244,13,362,14,0.9285714285714286,8.901639344262296,8.008182054829325
Ba Bhatt,303,13,408,15,0.8666666666666667,8.07920792079208,7.998088232230092
Joginder Sharma,272,13,421,15,0.8666666666666667,9.286764705882353,7.994869356350831
Ls Livingstone,321,13,471,27,0.48148148148148145,8.80373831775701,7.9190139157965245
V Pratap Singh,211,12,300,9,1.3333333333333333,8.530805687203792,7.490111108362901
Ag Murtaza,269,12,322,12,1.0,7.182156133828996,7.42784678701305
V Nigam,244,12,361,13,0.9230769230769231,8.87704918032787,7.407145391310988
Simarjeet Singh,256,12,411,14,0.8571428571428571,9.6328125,7.392190937480815
Azmatullah Omarzai,300,12,476,15,0.8,9.52,7.381008401154579
R Shepherd,223,12,416,15,0.8,11.192825112107624,7.377868588147157
K Kartikeya,290,12,412,16,0.75,8.524137931034483,7.37346278041901
Bcj Cutting,288,12,430,17,0.7058823529411765,8.958333333333334,7.3635020494914265
Arshad Khan,289,12,502,18,0.6666666666666666,10.422145328719724,7.352523238530583
Sc Ganguly,280,12,370,20,0.6,7.928571428571429,7.345225222043665
Ankit Sharma,375,12,453,21,0.5714285714285714,7.248,7.341879529463167
V Shankar,258,12,344,22,0.5454545454545454,8.0,7.334090905965909
Ma Wood,127,11,192,5,2.2,9.070866141732283,7.0620486086804055
Be Hendricks,157,11,239,7,1.5714285714285714,9.13375796178344,6.936182504078046
Ashwani Kumar,132,11,234,7,1.5714285714285714,10.636363636363637,6.93308913132129
Oc Mccoy,180,11,255,8,1.375,8.5,6.8985294089965405
Jl Pattinson,222,11,321,10,1.1,8.675675675675675,6.843052956844363
Ts Mills,218,11,349,10,1.1,9.605504587155963,6.84082139229271
A Chandila,234,11,245,12,0.9166666666666666,6.282051282051282,6.815170062959323
S Badree,263,11,329,12,0.9166666666666666,7.505703422053232,6.809979733025328
Kp Appanna,222,11,291,13,0.8461538461538461,7.864864864864865,6.794660319262063
Akash Deep,302,11,554,14,0.7857142857142857,11.006622516556291,6.7753137339516405
Jd Ryder,241,11,314,16,0.6875,7.817427385892117,6.763083860846225
Pankaj Singh,311,11,472,17,0.6470588235294118,9.106109324758842,6.751375039130113
Lalit Yadav,294,11,430,19,0.5789473684210527,8.775510204081632,6.738580168761549
Abhishek Sharma,345,11,509,32,0.34375,8.852173913043478,6.691343317683465
T Thushara,144,10,164,6,1.6666666666666667,6.833333333333333,6.362601621733096
Mp Yadav,129,10,188,6,1.6666666666666667,8.744186046511627,6.356205671143146
Anand Rajan,162,10,206,8,1.25,7.62962962962963,6.276213588797248
Kma Paul,180,10,239,8,1.25,7.966666666666667,6.275104599359255
B Laughlin,179,10,284,9,1.1111111111111112,9.5195530726257,6.243231609686612
Mn Samuels,219,10,285,11,0.9090909090909091,7.808219178082192,6.207432213625507
A Kamboj,198,10,288,11,0.9090909090909091,8.727272727272727,6.20473484585898
J Syed Mohammad,196,10,286,11,0.9090909090909091,8.755102040816327,6.204662002052803
Rasikh Salam,245,10,412,13,0.7692307692307693,10.089795918367347,6.173668158354086
N Rana,197,10,271,26,0.38461538461538464,8.253807106598984,6.101154316299735
Dj Hussey,323,10,485,26,0.38461538461538464,9.009287925696594,6.099122387173806
Dj Hooda,391,10,550,34,0.29411764705882354,8.439897698209718,6.082520496301003
Smsm Senanayake,195,9,211,8,1.125,6.492307692307692,5.65580568245884
Is Sodhi,182,9,204,8,1.125,6.725274725274725,5.654738557669592
Se Bond,191,9,225,8,1.125,7.068062827225131,5.653296292292894
P Parameswaran,159,9,226,8,1.125,8.528301886792454,5.648451324683804
N Thushara,198,9,289,8,1.125,8.757575757575758,5.647837367634486
Mohammad Asif,199,9,307,8,1.125,9.256281407035177,5.64660694663421
Baw Mendis,248,9,306,10,0.9,7.403225806451612,5.607015246895543
Shahid Afridi,185,9,237,10,0.9,7.686486486486487,5.606019687191531
Af Milne,217,9,339,10,0.9,9.373271889400922,5.6013372641936146
Akash Singh,208,9,326,10,0.9,9.403846153846155,5.601267891398915
Sb Styris,222,9,278,11,0.8181818181818182,7.513513513513513,5.590255065129558
Kp Pietersen,180,9,218,13,0.6923076923076923,7.266666666666667,5.565984470453795
Jec Franklin,155,9,225,15,0.6,8.70967741935484,5.5429629603264745
J Yadav,398,9,447,20,0.45,6.738693467336684,5.519679339368986
Am Nayar,239,9,323,19,0.47368421052631576,8.10878661087866,5.519401441746728
R Parag,309,9,478,30,0.3,9.281553398058252,5.481548114833204
Gc Viljoen,146,8,229,6,1.3333333333333333,9.41095890410959,5.087918483913562
S Randiv,180,8,223,8,1.0,7.433333333333334,5.026905825976795
M Ntini,213,8,257,9,0.8888888888888888,7.23943661971831,5.005404233105641
Yudhvir Singh,145,8,257,9,0.8888888888888888,10.634482758620688,4.996584520496988
As Roy,167,8,218,10,0.8,7.832335329341317,4.985535164935495
S Sandeep Warrier,176,8,257,10,0.8,8.761363636363637,4.9828274941519854
I Udana,182,8,286,10,0.8,9.428571428571429,4.981212118962351
Zeeshan Ansari,209,8,334,10,0.8,9.588516746411482,4.980858281257794
Kc Cariappa,224,8,349,11,0.7272727272727273,9.348214285714285,4.966849003528873
Nithish Kumar Reddy,152,8,255,12,0.6666666666666666,10.06578947368421,4.953202612405144
Aa Chavan,255,8,339,13,0.6153846153846154,7.976470588235294,4.9481506662461445
Wg Jacks,145,8,221,13,0.6153846153846154,9.144827586206896,4.944947207261546
Jds Neesham,222,8,342,13,0.6153846153846154,9.243243243243244,4.9447143476366175
A Mithun,312,8,477,16,0.5,9.173076923076923,4.921802932633642
N Burger,105,7,152,5,1.4,8.685714285714285,4.5030263131384185
B Stanlake,150,7,200,6,1.1666666666666667,8.0,4.458333330208334
P Amarnath,132,7,241,6,1.1666666666666667,10.954545454545455,4.451590593077484
Of Smith,95,7,179,6,1.1666666666666667,11.305263157894736,4.451024207001273
Am Salvi,156,7,205,7,1.0,7.884615384615385,4.425365850441405
D Pretorius,166,7,242,7,1.0,8.74698795180723,4.422865011160061
Km Asif,143,7,232,7,1.0,9.734265734265735,4.420545974900809
R Shukla,130,7,217,7,1.0,10.015384615384615,4.419969276039934
Hf Gurney,169,7,239,8,0.875,8.485207100591715,4.398570429579217
Pc Valthaty,153,7,207,10,0.7,8.117647058823529,4.3646376781243434
Rr Raje,144,7,214,10,0.7,8.916666666666666,4.362429904026553
Dj Willey,221,7,277,11,0.6363636363636364,7.520361990950226,4.353867188237001
Tl Suman,152,7,198,11,0.6363636363636364,7.815789473684211,4.35286194958791
B Akhil,193,7,246,13,0.5384615384615384,7.647668393782384,4.33384406579035
Swapnil Singh,165,7,241,14,0.5,8.763636363636364,4.322821574159364
C De Grandhomme,230,7,323,19,0.3684210526315789,8.426086956521738,4.297420017822891
Y Venugopal Rao,222,7,338,20,0.35,9.135135135135135,4.291893488727636
W O'Rourke,64,6,132,3,2.0,12.375,4.016161614855627
Ramandeep Singh,45,6,64,4,1.5,8.533333333333333,3.923437497253418
Kmdn Kulasekara,107,6,122,5,1.2,6.841121495327103,3.869234968404178
Je Taylor,122,6,167,5,1.2,8.213114754098362,3.8643512944402616
Mg Bracewell,66,6,95,5,1.2,8.636363636363637,3.8631578920554013
M De Lange,116,6,171,5,1.2,8.844827586206897,3.862612083213448
V Puthur,73,6,109,5,1.2,8.958904109589042,3.8623241565295663
Fh Edwards,150,6,160,6,1.0,6.4,3.831249995117188
Ss Cottrell,131,6,177,6,1.0,8.106870229007635,3.8246704301018584
Dg Nalkande,89,6,150,6,1.0,10.112359550561797,3.8197777758219753
S Narwal,113,6,203,6,1.0,10.778761061946904,3.818555006488739
Jaskaran Singh,111,6,174,7,0.8571428571428571,9.405405405405405,3.7926929369837965
K Khejroliya,148,6,250,8,0.75,10.135135135135135,3.769733331386311
Rv Gomez,97,6,130,9,0.6666666666666666,8.041237113402062,3.7582051251120974
Sb Bangar,153,6,221,9,0.6666666666666666,8.666666666666666,3.7564102537475343
S Kaushik,210,6,304,10,0.6,8.685714285714285,3.743026313138418
Fazalhaq Farooqi,266,6,440,12,0.5,9.924812030075188,3.720151513121097
Vs Malik,212,6,268,13,0.46153846153846156,7.584905660377358,3.7186758480352737
S Tyagi,220,6,304,14,0.42857142857142855,8.290909090909091,3.7098370898222806
R Sathish,144,6,233,14,0.42857142857142855,9.708333333333334,3.7063151419614075
V Sehwag,138,6,236,15,0.4,10.26086956521739,3.699491523524131
S Dube,130,6,223,15,0.4,10.292307692307691,3.6994319861538427
Ak Markram,191,6,275,19,0.3157894736842105,8.638743455497382,3.686309407208394
Shoaib Akhtar,46,5,54,3,1.6666666666666667,7.0434782608695645,3.3617283910303315
Ap Dole,73,5,114,3,1.6666666666666667,9.36986301369863,3.3546783602950483
Harsh Dubey,61,5,98,3,1.6666666666666667,9.639344262295083,3.354081630500602
L Ablish,45,5,76,3,1.6666666666666667,10.133333333333333,3.3530701734908823
O Thomas,63,5,85,4,1.25,8.095238095238095,3.2747058793010386
A Choudhary,108,5,144,5,1.0,8.0,3.2249999968750007
Pd Collingwood,90,5,101,6,0.8333333333333334,6.733333333333333,3.1963696325523645
Gurkeerat Singh,82,5,97,6,0.8333333333333334,7.097560975609756,3.1948453568545485
Prince Yadav,144,5,226,6,0.8333333333333334,9.416666666666666,3.1879056024643018
Rjw Topley,125,5,222,6,0.8333333333333334,10.656,3.185435433674102
Shoaib Ahmed,103,5,154,7,0.7142857142857143,8.970873786407767,3.1651515126663203
Sb Wagh,108,5,147,8,0.625,8.166666666666666,3.149489792919617
S Ladda,141,5,225,9,0.5555555555555556,9.574468085106384,3.131999997818272
Sh Johnson,172,5,289,9,0.5555555555555556,10.081395348837209,3.1309496327880284
